document_id,title,filename,local_path,pdf_url,source_website,source_page,department,connector,category,classified_category,document_type,language,date,gr_date,download_date,unique_code,size,page_count,version,year,sha256,status,tags,connector_folder,classification_confidence,classification_reason,matched_keywords,schema_version
coop_20260714130914_inviting_objections_,"inviting objections and suggestions on the proposed draft amendments to the Maharashtra Cooperative Societies Act, 1960 under the Maharashtra JanVishwas Bill by 6th February 2026",inviting_objections_and_suggestions_on_the_propose_21_01_2026.pdf,dataset/Acts/inviting_objections_and_suggestions_on_the_propose_21_01_2026.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2026/01/20260122116804359.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Acts & Rules,Acts,Act,English,21/01/2026,21/01/2026,2026-07-14 13:09:14,,38485,,,2026,3d3d63a2c0dc657ce80f1ede2c01ac8f394c2d4fcc5cfd2af3e6fcf5f0e6efe4,Downloaded,,Acts,,,,1.1
coop_20260714130916_Proposed_Draft_amend,Proposed Draft amendments to the Maharashtra Co-operative Societies Act 1960 under the Maharashtra Jan Vishwas Bill,Proposed_Draft_amendments_to_the_Maharashtra_Co-op_21_01_2026.pdf,dataset/Acts/Proposed_Draft_amendments_to_the_Maharashtra_Co-op_21_01_2026.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2026/01/2026012285555908.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Acts & Rules,Acts,Act,English,21/01/2026,21/01/2026,2026-07-14 13:09:16,,611990,,,2026,50c7af8deb7e2868c08db63571f3cb9e6a73b67b64bc5baf281e630b0fc5f732,Downloaded,,Acts,,,,1.1
coop_20260714130919_Maharashtra_Cooperat,Maharashtra Cooperative Societies Act 1960,Maharashtra_Cooperative_Societies_Act_1960_09_05_1961.pdf,dataset/Acts/Maharashtra_Cooperative_Societies_Act_1960_09_05_1961.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2025/04/202504241793532905.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Acts & Rules,Acts,Act,Unknown,09/05/1961,09/05/1961,2026-07-14 13:09:19,,770464,,,1961,4120fe573e8d1f829fdd83fd31cae9ffd8250850e9d411fd0fca44aae9517957,Downloaded,,Acts,,,,1.1
coop_20260714130921_Maharashtra_Cooperat,Maharashtra Cooperative Societies Rules 1961,Maharashtra_Cooperative_Societies_Rules_1961.pdf,dataset/Acts/Maharashtra_Cooperative_Societies_Rules_1961.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2025/04/20250424318315897.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Acts & Rules,Acts,Rule,Unknown,,,2026-07-14 13:09:21,,814210,,,,a10c26b36b1b1e1a66dd68484c373c787bce8a315e37c8386a626c2a7e4e996c,Downloaded,,Acts,,,,1.1
coop_20260714130923_Maharashtra_Cooperat,"Maharashtra Cooperative Societies (Committee Election) Rules, 2014",Maharashtra_Cooperative_Societies_Committee_Electi.pdf,dataset/Acts/Maharashtra_Cooperative_Societies_Committee_Electi.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2025/04/202504241686281365.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Acts & Rules,Acts,Rule,Unknown,,,2026-07-14 13:09:23,,294451,,,,70bbf61d37785f65e86c2d5a9983a285618d71eb1289ff7591519e6ee04bfc96,Downloaded,,Acts,,,,1.1
coop_20260714130926_Regarding_the_conces,Regarding the concessions to be given to encourage the redevelopment of registered cooperative housing societies in the state,Regarding_the_concessions_to_be_given_to_encourage_13_09_2019.pdf,dataset/Notifications/Regarding_the_concessions_to_be_given_to_encourage_13_09_2019.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2025/04/202504281226026759.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Government Resolution / Notification,Notifications,Redevelopment,English,13/09/2019,13/09/2019,2026-07-14 13:09:26,,5396876,,,2019,c033b42be7b60eb5c387b027b797189f12c7c7df506d716a3eafedf469f5c3f3,Downloaded,,Notifications,,,,1.1
coop_20260714130929_To_determine_the_doc,To determine the documents with a view to removing the difficulties in the Deemed Conveyance,To_determine_the_documents_with_a_view_to_removing_18_09_2017.pdf,dataset/Notifications/To_determine_the_documents_with_a_view_to_removing_18_09_2017.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2025/04/202504281141004695.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Government Resolution / Notification,Notifications,Conveyance,English,18/09/2017,18/09/2017,2026-07-14 13:09:29,,2507924,,,2017,d80f3590d3c26b84dd082b6590ea8afcfcaadbaed5518c11c8b704ea1457f26a,Downloaded,,Notifications,,,,1.1
coop_20260714130931_regarding_redevelopm,regarding redevelopment of buildings of Cooperative Housing Societies………,regarding_redevelopment_of_buildings_of_Cooperativ_18_08_2017.pdf,dataset/Notifications/regarding_redevelopment_of_buildings_of_Cooperativ_18_08_2017.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2025/04/202504281710047135.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Government Resolution / Notification,Notifications,Redevelopment,English,18/08/2017,18/08/2017,2026-07-14 13:09:31,,629629,,,2017,1feb005daa9291e2e5582b20ff53ea1d99c0733c454a4a0d778908348249cb25,Downloaded,,Notifications,,,,1.1
coop_20260714130933_Revised_audit_fees_o,"Revised audit fees of urban Co.Operative banks, urban co.operative credit societies & others co.operative societies",Revised_audit_fees_of_urban_CoOperative_banks_urba_29_10_2014.pdf,dataset/Notifications/Revised_audit_fees_of_urban_CoOperative_banks_urba_29_10_2014.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2025/04/20250429197874448.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Government Resolution / Notification,Notifications,Audit,Unknown,29/10/2014,29/10/2014,2026-07-14 13:09:33,,341104,,,2014,7f6ae303672aa884f83b037550a9a70e072d6d7fb23cae28af0198329540e338,Downloaded,,Notifications,,,,1.1
coop_20260714130935_regarding_redevelopm,regarding redevelopment of buildings of Cooperative Housing Societies………,regarding_redevelopment_of_buildings_of_Cooperativ_19_10_2011.pdf,dataset/Notifications/regarding_redevelopment_of_buildings_of_Cooperativ_19_10_2011.pdf,https://cdnbbsr.s3waas.gov.in/s392c5ad73d34a8c18d276a0f0b60ea745/uploads/2025/04/20250428147252288.pdf,https://mahasahakar.maharashtra.gov.in,https://mahasahakar.maharashtra.gov.in/en/documents/,Cooperation Department,Cooperation Department,Government Resolution / Notification,Notifications,Redevelopment,English,19/10/2011,19/10/2011,2026-07-14 13:09:35,,843005,,,2011,fa9a0500f47365d6806cd293369c769190ed1843e43791a426e1a1a66bd73949,Downloaded,,Notifications,,,,1.1
