document_id,title,filename,local_path,pdf_url,source_website,source_page,department,connector,category,document_type,language,date,gr_date,download_date,unique_code,size,page_count,version,year,sha256,status,tags
housing_20260714131343_Regarding_inviting_o,Regarding inviting objections or suggestions in accordance with the rules of the Summit Grievance Redressal Committee,Regarding_inviting_objections_or_suggestions_in_ac_22_05_2026.pdf,dataset/Acts/Regarding_inviting_objections_or_suggestions_in_ac_22_05_2026.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2026/05/202605221804081212.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Acts & Rules,Rule,English,22/05/2026,22/05/2026,2026-07-14 13:13:43,,906773,,,2026,67c850b296ac6230f16757e5fe2806a6e0e3f49291d2a37e6eee5c21128a4cbf,Downloaded,
housing_20260714131345_The_Real_Estate_Regu,The Real Estate (Regulation and Development) Act 2016,The_Real_Estate_Regulation_and_Development_Act_201_12_09_2025.pdf,dataset/Acts/The_Real_Estate_Regulation_and_Development_Act_201_12_09_2025.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2025/09/202509122034412027.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Acts & Rules,Act,English,12/09/2025,12/09/2025,2026-07-14 13:13:45,,576388,,,2025,312d8c92bb8a3be7b915281197f65e45b8951af53bcb32548d434067b6591127,Downloaded,
housing_20260714131347_The_Maharashtra_Hous,The Maharashtra Housing (Regulation and Development) Act 2012,The_Maharashtra_Housing_Regulation_and_Development_12_09_2025.pdf,dataset/Acts/The_Maharashtra_Housing_Regulation_and_Development_12_09_2025.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2025/09/202509122132214915.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Acts & Rules,Act,English,12/09/2025,12/09/2025,2026-07-14 13:13:47,,485357,,,2025,47767c7c02e68e78bf4c39c2ea213db8cccb03967058b08fa2f737c2d798897f,Downloaded,
housing_20260714131349_The_Maharashtra_Rent,The Maharashtra Rent Control Act 1999,The_Maharashtra_Rent_Control_Act_1999_12_09_2025.pdf,dataset/Acts/The_Maharashtra_Rent_Control_Act_1999_12_09_2025.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2025/09/202509111900892266.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Acts & Rules,Act,English,12/09/2025,12/09/2025,2026-07-14 13:13:49,,378401,,,2025,be528a715cdefb3eb6a5d82e2c17b11cd77e25ecca9967ea869ca925d8acaa15,Downloaded,
housing_20260714131352_The_Maharashtra_Hous,The Maharashtra Housing and Area Development Act 1976,The_Maharashtra_Housing_and_Area_Development_Act_1_12_09_2025.pdf,dataset/Acts/The_Maharashtra_Housing_and_Area_Development_Act_1_12_09_2025.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2025/09/202509112044354047.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Acts & Rules,Act,English,12/09/2025,12/09/2025,2026-07-14 13:13:52,,3030360,,,2025,df98578d43c7e2934a5152abe8a85bffa6d1244fd8fc7f43f5f25b3b7b12579a,Downloaded,
housing_20260714131354_The_Maharashtra_Slum,"The Maharashtra Slum Areas (Improvement, Clearance and Redevelopment) Act 1971",The_Maharashtra_Slum_Areas_Improvement_Clearance_a_12_09_2025.pdf,dataset/Acts/The_Maharashtra_Slum_Areas_Improvement_Clearance_a_12_09_2025.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2025/09/20250911271155943.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Acts & Rules,Act,English,12/09/2025,12/09/2025,2026-07-14 13:13:54,,681188,,,2025,ebfa831dcd371939c01c8c10fe429da00cdb300ab6f726473f88040dadf0a610,Downloaded,
housing_20260714131356_The_Maharashtra_Apar,The Maharashtra Apartment Ownership Act 1970,The_Maharashtra_Apartment_Ownership_Act_1970_12_09_2025.pdf,dataset/Acts/The_Maharashtra_Apartment_Ownership_Act_1970_12_09_2025.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2025/09/20250911144768239.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Acts & Rules,Act,English,12/09/2025,12/09/2025,2026-07-14 13:13:56,,293930,,,2025,3b97da08970563c3a3a6b14c5ba465c4cda4b47ec7d5a51881a4f6727af602ba,Downloaded,
housing_20260714131358_The_Maharashtra_Owne,The Maharashtra Ownership Flats Act 1963,The_Maharashtra_Ownership_Flats_Act_1963_12_09_2025.pdf,dataset/Acts/The_Maharashtra_Ownership_Flats_Act_1963_12_09_2025.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2025/09/20250911109653766.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Acts & Rules,Act,English,12/09/2025,12/09/2025,2026-07-14 13:13:58,,461882,,,2025,5d11c8afc709a72a7965a20ad2be23f1afd34668900a13fb45e58962111511e9,Downloaded,
housing_20260714131400_The_Bombay_Governmen,The Bombay Government Premises (Eviction) Act 1955,The_Bombay_Government_Premises_Eviction_Act_1955_12_09_2025.pdf,dataset/Acts/The_Bombay_Government_Premises_Eviction_Act_1955_12_09_2025.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2025/09/202509112093674248.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Acts & Rules,Act,English,12/09/2025,12/09/2025,2026-07-14 13:14:00,,249807,,,2025,4a3f24edc8106a116ef9a6695345f397b46c3e780707034b8fd84ff93facee34,Downloaded,
housing_20260714131402_SLAC_11_08_2025_11_0,SLAC_11/08/2025,SLAC_11_08_2025_11_08_2025.pdf,dataset/Minutes/SLAC_11_08_2025_11_08_2025.pdf,https://cdnbbsr.s3waas.gov.in/s30bf727e907c5fc9d5356f11e4c45d613/uploads/2025/09/20250905868023951.pdf,https://housing.maharashtra.gov.in,https://housing.maharashtra.gov.in/en/document-category/,Housing Department,Housing Department,Minutes of Meeting,Other,English,11/08/2025,11/08/2025,2026-07-14 13:14:02,,2038097,,,2025,0034f5a1812aceb52f286468ddd7cf14474ad8d7ab1a55fff0e995075a705ea3,Downloaded,
