document_id,title,filename,local_path,pdf_url,source_website,source_page,department,connector,category,document_type,language,date,gr_date,download_date,unique_code,size,page_count,version,year,sha256,status,tags,connector_folder,classified_category,classification_confidence,classification_reason,matched_keywords,schema_version,s3_uri,run_status,s3_uploaded
saha_20260713135307_गहनरमण_नयम_१०६-स_दनक,"गृहनिर्माण नियम १०६-सी, दिनांक २२.०६.२०२६",गहनरमण_नयम_१०६-स_दनक_२२०६२०२६_2026-06-22.pdf,dataset/Sahakarayukta/गहनरमण_नयम_१०६-स_दनक_२२०६२०२६_2026-06-22.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Housing Rules Rule 106C.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2026-06-22,2026-06-22,2026-07-13 13:53:07,,1437510,,,2026.0,7d79c0b934b52db67d7f682cf795d0da83f4ddbe0b2b3c316f4351ef62501a4e,Downloaded,,,,,,,1.1,,,
saha_20260713135311_महरषटर_सहकर_ससथ_अधनय,"महाराष्ट्र सहकारी संस्था अधिनियम, 1960 इंग्रजी आवृत्ती",महरषटर_सहकर_ससथ_अधनयम_1960_इगरज_आवतत_2025-06-06.pdf,dataset/Sahakarayukta/महरषटर_सहकर_ससथ_अधनयम_1960_इगरज_आवतत_2025-06-06.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/maharashtra-co-operative-societies-act-1960- English Edition.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Act,English,2025-06-06,2025-06-06,2026-07-13 13:53:11,,1431737,,,2025.0,aacc5c61795ca813e8b7a033888e4ba9275f73c034b66235115f94c5330fd50a,Downloaded,,,,,,,1.1,,,
saha_20260713135315_महरषटर_सहकर_ससथ_सधरण,"महाराष्ट्र सहकारी संस्था (सुधारणा) नियम, २०२५",महरषटर_सहकर_ससथ_सधरण_नयम_२०२५_2025-04-15.pdf,dataset/Sahakarayukta/महरषटर_सहकर_ससथ_सधरण_नयम_२०२५_2025-04-15.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/अधिसूचना-नियम सुधारणा 15-04-2025.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2025-04-15,2025-04-15,2026-07-13 13:53:15,,1730396,,,2025.0,76e6633d4a94ad5f569b2048b3d27866c41b5fa7b7575db9bc192df6da2d64e1,Downloaded,,,,,,,1.1,,,
saha_20260713135317_महरषटर_सहकर_ससथ_सधरण,"महाराष्ट्र सहकारी संस्था (सुधारणा) नियम, 2019",महरषटर_सहकर_ससथ_सधरण_नयम_2019_2019-07-23.pdf,dataset/Sahakarayukta/महरषटर_सहकर_ससथ_सधरण_नयम_2019_2019-07-23.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/MCS Amendment 2019.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2019-07-23,2019-07-23,2026-07-13 13:53:17,,305648,,,2019.0,95e680be63145afc3b6c1698894ccdba423a1e98eddc128a6a6fb7ba2528df0b,Downloaded,,,,,,,1.1,,,
saha_20260713135320_महरषटर_सहकर_ससथ_नवडण,"महाराष्ट्र सहकारी संस्था (निवडणूक समिती) नियम, २०१४",महरषटर_सहकर_ससथ_नवडणक_समत_नयम_२०१४_2014-09-11.pdf,dataset/Sahakarayukta/महरषटर_सहकर_ससथ_नवडणक_समत_नयम_२०१४_2014-09-11.pdf,"https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Maharashtra Cooperative Societies (Election Committee) Rules, 2014.pdf",https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2014-09-11,2014-09-11,2026-07-13 13:53:20,,294451,,,2014.0,70bbf61d37785f65e86c2d5a9983a285618d71eb1289ff7591519e6ee04bfc96,Downloaded,,,,,,,1.1,,,
saha_20260713135323_महरषटर_सहकर_ससथ_सधरण,"महाराष्ट्र सहकारी संस्था (सुधारणा) नियम, 2013",महरषटर_सहकर_ससथ_सधरण_नयम_2013_2013-08-13.pdf,dataset/Sahakarayukta/महरषटर_सहकर_ससथ_सधरण_नयम_2013_2013-08-13.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/MCS Amendment 2013.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2013-08-13,2013-08-13,2026-07-13 13:53:23,,867523,,,2013.0,cb66ef347da3c26bcb80597bc54d1a00f3eaa55520a8cc05df6810257d48b0c2,Downloaded,,,,,,,1.1,,,
saha_20260713135332_महरषटर_सहकर_ससथ_अधनय,"महाराष्ट्र सहकारी संस्था अधिनियम, 1960 मराठी आवृत्ती",महरषटर_सहकर_ससथ_अधनयम_1960_मरठ_आवतत_2006-11-01.pdf,dataset/Sahakarayukta/महरषटर_सहकर_ससथ_अधनयम_1960_मरठ_आवतत_2006-11-01.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/maharashtra co- operative societies act-1960-Marathi Edition.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Act,Marathi,2006-11-01,2006-11-01,2026-07-13 13:53:32,,5455760,,,2006.0,71a1e5f957d5ac9b6a450b7d983d836ee04da514689b4a827c2e0f8f29fa8b71,Downloaded,,,,,,,1.1,,,
saha_20260713135336_महरषटर_सहकर_ससथ_नयम_,"महाराष्ट्र सहकारी संस्था नियम, १९६१",महरषटर_सहकर_ससथ_नयम_१९६१_1961-09-29.pdf,dataset/Sahakarayukta/महरषटर_सहकर_ससथ_नयम_१९६१_1961-09-29.pdf,"https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Maharashtra Cooperative Societies Rules, 1961.pdf",https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,1961-09-29,1961-09-29,2026-07-13 13:53:36,,814210,,,1961.0,a10c26b36b1b1e1a66dd68484c373c787bce8a315e37c8386a626c2a7e4e996c,Downloaded,,,,,,,1.1,,,
saha_20260713135340_आदरश_उपवध_-_गहनरमण_म,आदर्श उपविधी - गृहनिर्माण (मराठी),आदरश_उपवध_-_गहनरमण_मरठ_2015-06-11.pdf,dataset/Sahakarayukta/आदरश_उपवध_-_गहनरमण_मरठ_2015-06-11.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Housing Society Bye Laws Final 2015.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/1105/Model-Bye-Laws?Doctype=1CC73BAD-36CA-45AA-BA03-2119E31B6337,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Model Bye Laws,Bye-law,Marathi,2015-06-11,2015-06-11,2026-07-13 13:53:40,,2166104,,,2015.0,b76328ec0bd5c21259180446dd8193d70161f32af29e7e18989cff3639ec2f63,Downloaded,,,,,,,1.1,,,
saha_20260713135342_आदरश_उपवध_-_गहनरमण_इ,आदर्श उपविधी - गृहनिर्माण (इंग्रजी)),आदरश_उपवध_-_गहनरमण_इगरज_2014-07-10.pdf,dataset/Sahakarayukta/आदरश_उपवध_-_गहनरमण_इगरज_2014-07-10.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Model Bye Laws of Coop Housing Society New Flatowner Type (2-9-14).pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/1105/Model-Bye-Laws?Doctype=1CC73BAD-36CA-45AA-BA03-2119E31B6337,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Model Bye Laws,Bye-law,Marathi,2014-07-10,2014-07-10,2026-07-13 13:53:42,,563668,,,2014.0,93ee6d2139f6f10ccc0212757b53db05b7565c31a03b403200ba7e3b07b68310,Downloaded,,,,,,,1.1,,,
saha_20260713135345_आदरश_उपवध_-_खरद_वकर_,आदर्श उपविधी - खरेदी विक्री सहकारी संस्था,आदरश_उपवध_-_खरद_वकर_सहकर_ससथ_2014-05-27.pdf,dataset/Sahakarayukta/आदरश_उपवध_-_खरद_वकर_सहकर_ससथ_2014-05-27.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Mode_Byelawws_of_Kharedi_Vikri_Co-operative_Society.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/1105/Model-Bye-Laws?Doctype=1CC73BAD-36CA-45AA-BA03-2119E31B6337,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Model Bye Laws,Bye-law,Marathi,2014-05-27,2014-05-27,2026-07-13 13:53:45,,283905,,,2014.0,d3a2a71ea99fec3a520879474a4f612d39be63a27909d68f09137e4e2430c53a,Downloaded,,,,,,,1.1,,,
saha_20260713135347_आदरश_उपवध_-_कष_परकरय,आदर्श उपविधी - कृषि प्रक्रिया सहकारी संस्था,आदरश_उपवध_-_कष_परकरय_सहकर_ससथ_2014-05-27.pdf,dataset/Sahakarayukta/आदरश_उपवध_-_कष_परकरय_सहकर_ससथ_2014-05-27.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Model_Byelaws_Of_Processing_Co-operative_Society.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/1105/Model-Bye-Laws?Doctype=1CC73BAD-36CA-45AA-BA03-2119E31B6337,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Model Bye Laws,Bye-law,Marathi,2014-05-27,2014-05-27,2026-07-13 13:53:47,,230628,,,2014.0,1301a71cecd261662145b9506df5942ca70c516707e5268e1f6437bfc67c8460,Downloaded,,,,,,,1.1,,,
saha_20260713135349_आदरश_उपवध_जनग_ॲणड_पर,आदर्श उपविधी जिनिंग ॲण्ड प्रसिंग सहकारी संस्था,आदरश_उपवध_जनग_ॲणड_परसग_सहकर_ससथ_2014-05-27.pdf,dataset/Sahakarayukta/आदरश_उपवध_जनग_ॲणड_परसग_सहकर_ससथ_2014-05-27.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Model_Bye-laws_Of_Ginning_and_Pressing_Co-operative_Society.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/1105/Model-Bye-Laws?Doctype=1CC73BAD-36CA-45AA-BA03-2119E31B6337,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Model Bye Laws,Bye-law,Marathi,2014-05-27,2014-05-27,2026-07-13 13:53:49,,413114,,,2014.0,9b2ef50cbb86b48c54955d1b3aabe670f6599a34d15c087e2046190447e29b0c,Downloaded,,,,,,,1.1,,,
