document_id,title,filename,local_path,pdf_url,source_website,source_page,department,connector,category,document_type,language,date,gr_date,download_date,unique_code,size,page_count,version,year,sha256,status,tags
saha_20260714130950_गहनरमण_नयम_१०६-स_दनक,"गृहनिर्माण नियम १०६-सी, दिनांक २२.०६.२०२६",गहनरमण_नयम_१०६-स_दनक_२२०६२०२६_2026-06-22.pdf,dataset/Acts/गहनरमण_नयम_१०६-स_दनक_२२०६२०२६_2026-06-22.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Housing Rules Rule 106C.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2026-06-22,2026-06-22,2026-07-14 13:09:50,,1437510,,,2026,7d79c0b934b52db67d7f682cf795d0da83f4ddbe0b2b3c316f4351ef62501a4e,Downloaded,
saha_20260714130953_महरषटर_सहकर_ससथ_अधनय,"महाराष्ट्र सहकारी संस्था अधिनियम, 1960 इंग्रजी आवृत्ती",महरषटर_सहकर_ससथ_अधनयम_1960_इगरज_आवतत_2025-06-06.pdf,dataset/Acts/महरषटर_सहकर_ससथ_अधनयम_1960_इगरज_आवतत_2025-06-06.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/maharashtra-co-operative-societies-act-1960- English Edition.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Act,English,2025-06-06,2025-06-06,2026-07-14 13:09:53,,1431737,,,2025,aacc5c61795ca813e8b7a033888e4ba9275f73c034b66235115f94c5330fd50a,Downloaded,
saha_20260714130958_महरषटर_सहकर_ससथ_सधरण,"महाराष्ट्र सहकारी संस्था (सुधारणा) नियम, २०२५",महरषटर_सहकर_ससथ_सधरण_नयम_२०२५_2025-04-15.pdf,dataset/Acts/महरषटर_सहकर_ससथ_सधरण_नयम_२०२५_2025-04-15.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/अधिसूचना-नियम सुधारणा 15-04-2025.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2025-04-15,2025-04-15,2026-07-14 13:09:58,,1730396,,,2025,76e6633d4a94ad5f569b2048b3d27866c41b5fa7b7575db9bc192df6da2d64e1,Downloaded,
saha_20260714131000_महरषटर_सहकर_ससथ_सधरण,"महाराष्ट्र सहकारी संस्था (सुधारणा) नियम, 2019",महरषटर_सहकर_ससथ_सधरण_नयम_2019_2019-07-23.pdf,dataset/Acts/महरषटर_सहकर_ससथ_सधरण_नयम_2019_2019-07-23.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/MCS Amendment 2019.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2019-07-23,2019-07-23,2026-07-14 13:10:00,,305648,,,2019,95e680be63145afc3b6c1698894ccdba423a1e98eddc128a6a6fb7ba2528df0b,Downloaded,
saha_20260714131003_महरषटर_सहकर_ससथ_नवडण,"महाराष्ट्र सहकारी संस्था (निवडणूक समिती) नियम, २०१४",महरषटर_सहकर_ससथ_नवडणक_समत_नयम_२०१४_2014-09-11.pdf,dataset/Acts/महरषटर_सहकर_ससथ_नवडणक_समत_नयम_२०१४_2014-09-11.pdf,"https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Maharashtra Cooperative Societies (Election Committee) Rules, 2014.pdf",https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2014-09-11,2014-09-11,2026-07-14 13:10:03,,294451,,,2014,70bbf61d37785f65e86c2d5a9983a285618d71eb1289ff7591519e6ee04bfc96,Downloaded,
saha_20260714131006_महरषटर_सहकर_ससथ_सधरण,"महाराष्ट्र सहकारी संस्था (सुधारणा) नियम, 2013",महरषटर_सहकर_ससथ_सधरण_नयम_2013_2013-08-13.pdf,dataset/Acts/महरषटर_सहकर_ससथ_सधरण_नयम_2013_2013-08-13.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/MCS Amendment 2013.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,2013-08-13,2013-08-13,2026-07-14 13:10:06,,867523,,,2013,cb66ef347da3c26bcb80597bc54d1a00f3eaa55520a8cc05df6810257d48b0c2,Downloaded,
saha_20260714131020_महरषटर_सहकर_ससथ_अधनय,"महाराष्ट्र सहकारी संस्था अधिनियम, 1960 मराठी आवृत्ती",महरषटर_सहकर_ससथ_अधनयम_1960_मरठ_आवतत_2006-11-01.pdf,dataset/Acts/महरषटर_सहकर_ससथ_अधनयम_1960_मरठ_आवतत_2006-11-01.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/maharashtra co- operative societies act-1960-Marathi Edition.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Act,Marathi,2006-11-01,2006-11-01,2026-07-14 13:10:20,,5455760,,,2006,71a1e5f957d5ac9b6a450b7d983d836ee04da514689b4a827c2e0f8f29fa8b71,Downloaded,
saha_20260714131024_महरषटर_सहकर_ससथ_नयम_,"महाराष्ट्र सहकारी संस्था नियम, १९६१",महरषटर_सहकर_ससथ_नयम_१९६१_1961-09-29.pdf,dataset/Acts/महरषटर_सहकर_ससथ_नयम_१९६१_1961-09-29.pdf,"https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Maharashtra Cooperative Societies Rules, 1961.pdf",https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/Site/Information/ListingUploadOtherPdf.aspx?Doctype=883C2837-B898-4558-8CD6-87090AD2291B&MenuID=1072,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Acts & Rules,Rule,Marathi,1961-09-29,1961-09-29,2026-07-14 13:10:24,,814210,,,1961,a10c26b36b1b1e1a66dd68484c373c787bce8a315e37c8386a626c2a7e4e996c,Downloaded,
saha_20260714131030_आदरश_उपवध_-_गहनरमण_म,आदर्श उपविधी - गृहनिर्माण (मराठी),आदरश_उपवध_-_गहनरमण_मरठ_2015-06-11.pdf,dataset/Model_ByeLaws/आदरश_उपवध_-_गहनरमण_मरठ_2015-06-11.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Housing Society Bye Laws Final 2015.pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/1105/Model-Bye-Laws?Doctype=1CC73BAD-36CA-45AA-BA03-2119E31B6337,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Model Bye Laws,Bye-law,Marathi,2015-06-11,2015-06-11,2026-07-14 13:10:30,,2166104,,,2015,b76328ec0bd5c21259180446dd8193d70161f32af29e7e18989cff3639ec2f63,Downloaded,
saha_20260714131033_आदरश_उपवध_-_गहनरमण_इ,आदर्श उपविधी - गृहनिर्माण (इंग्रजी)),आदरश_उपवध_-_गहनरमण_इगरज_2014-07-10.pdf,dataset/Model_ByeLaws/आदरश_उपवध_-_गहनरमण_इगरज_2014-07-10.pdf,https://sahakarayukta.maharashtra.gov.in/site/upload/documents/Model Bye Laws of Coop Housing Society New Flatowner Type (2-9-14).pdf,https://sahakarayukta.maharashtra.gov.in,https://sahakarayukta.maharashtra.gov.in/1105/Model-Bye-Laws?Doctype=1CC73BAD-36CA-45AA-BA03-2119E31B6337,Commissioner and Registrar of Cooperative Societies,Sahakarayukta (Registrar of Cooperative Societies),Model Bye Laws,Bye-law,Marathi,2014-07-10,2014-07-10,2026-07-14 13:10:33,,563668,,,2014,93ee6d2139f6f10ccc0212757b53db05b7565c31a03b403200ba7e3b07b68310,Downloaded,
